6.496565	9.506000	
14.911578	17.963655	
18.943000	21.938000	
26.629000	29.588000	
35.970912	38.979388	
44.129000	47.087000	
55.783000	58.525000	
69.573000	72.836000	
81.970078	85.065756	
86.020000	88.726000	
93.814000	96.953000	
99.937000	103.248000	
104.005000	107.363000	
108.391000	111.747000	
112.565000	115.687000	
116.798000	119.685000	
120.558000	123.585000	
124.556000	127.623000	
130.065000	133.045000	
134.247803	137.254000	
138.128302	141.227000	
142.270407	145.200000	
146.193000	149.409000	
150.205808	153.145000	
159.928854	163.111735	
164.550571	167.166638	
172.224366	174.796831	
178.590127	181.729407	
201.742314	204.183976	
244.296993	246.956660	
252.145192	255.153668	
265.530731	268.582809	
270.021645	272.681312	
274.120149	276.954221	
