157.266489	164.258000	
164.258000	171.825000	
171.496000	179.475000	
179.145613	187.206000	
186.877000	193.951000	
194.527000	201.601000	
319.633000	322.758000	
333.287000	336.577000	
336.577000	338.880000	
343.075000	345.460000	
359.689517	362.568000	
365.940695	368.902000	
372.274000	375.071000	
431.249000	434.375000	
437.747000	440.215000	
446.713000	449.180000	
469.414000	472.211000	
481.834000	485.207000	
491.705000	494.419000	
504.042000	506.510000	
513.336902	516.380239	
535.298000	537.930000	
547.718000	550.433000	
566.390000	568.117000	
584.156000	586.213000	
601.594000	603.157000	
606.776000	608.832000	
636.057000	637.209000	
790.527000	792.172000	
814.134000	816.108000	
836.753000	838.810000	
